
('Total Revenue', '254,190,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         742932 function calls (722320 primitive calls) in 4.156 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10048    0.006    0.000    0.006    0.000 {built-in method builtins.min}
       17    0.002    0.000    0.006    0.000 __init__.py:355(namedtuple)
        7    0.000    0.000    0.006    0.001 typing.py:2761(_make_nmtuple)
        1    0.000    0.000    0.006    0.006 hashlib.py:1(<module>)
        6    0.000    0.000    0.006    0.001 typing.py:2780(__new__)
        1    0.000    0.000    0.006    0.006 ssl.py:430(__new__)
        2    0.000    0.000    0.005    0.003 models.py:1(<module>)
    14490    0.005    0.000    0.005    0.000 {method 'end' of 're.Match' objects}
     2582    0.003    0.000    0.005    0.000 _htmlparser.py:178(handle_data)
      221    0.001    0.000    0.005    0.000 typing.py:175(_type_check)
       35    0.000    0.000    0.005    0.000 typing.py:1449(__getitem__)
        1    0.000    0.000    0.005    0.005 pathlib.py:1(<module>)
        2    0.000    0.000    0.005    0.003 _collections.py:1(<module>)
     5813    0.003    0.000    0.005    0.000 _parser.py:176(append)
        1    0.005    0.005    0.005    0.005 models.py:909(text)
     1057    0.002    0.000    0.005    0.000 _parser.py:312(_class_escape)
        4    0.000    0.000    0.005    0.001 ssl.py:399(__new__)
        1    0.000    0.000    0.005    0.005 filepost.py:1(<module>)
        4    0.005    0.001    0.005    0.001 {built-in method _ssl.txt2obj}
  136/131    0.002    0.000    0.005    0.000 css_parser.py:375(_freeze_relations)
        2    0.000    0.000    0.005    0.002 cookies.py:1(<module>)
       48    0.000    0.000    0.005    0.000 typing.py:1458(copy_with)
        1    0.001    0.001    0.005    0.005 constant.py:1(<module>)
      327    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:632(cached)
        1    0.000    0.000    0.004    0.004 ipaddress.py:1(<module>)
      159    0.004    0.000    0.004    0.000 {method '__exit__' of '_io._IOBase' objects}
      168    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
      120    0.001    0.000    0.004    0.000 _markupbase.py:165(parse_comment)
      121    0.002    0.000    0.004    0.000 _compiler.py:467(_get_charset_prefix)
     1423    0.004    0.000    0.004    0.000 __init__.py:648(_linkage_fixer)
      802    0.003    0.000    0.004    0.000 _parser.py:372(_escape)
     4198    0.002    0.000    0.004    0.000 <frozen abc>:117(__instancecheck__)
6161/6093    0.004    0.000    0.004    0.000 {method 'join' of 'str' objects}
    42/33    0.000    0.000    0.004    0.000 typing.py:508(__getitem__)
      253    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:162(__enter__)
     3818    0.004    0.000    0.004    0.000 {method 'add' of 'set' objects}
      477    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
     2679    0.003    0.000    0.004    0.000 __init__.py:523(string_container)
     1360    0.002    0.000    0.004    0.000 _parser.py:172(__setitem__)
        1    0.000    0.000    0.004    0.004 calendar.py:1(<module>)
       49    0.000    0.000    0.004    0.000 <frozen abc>:105(__new__)
     4115    0.003    0.000    0.004    0.000 _parser.py:293(tell)
       33    0.000    0.000    0.004    0.000 typing.py:687(Union)
        1    0.000    0.000    0.003    0.003 lzma.py:1(<module>)
      120    0.000    0.000    0.003    0.000 _htmlparser.py:241(handle_comment)
       17    0.003    0.000    0.003    0.000 {built-in method builtins.eval}
        1    0.000    0.000    0.003    0.003 pathlib.py:812(PureWindowsPath)
      880    0.002    0.000    0.003    0.000 _parser.py:449(_uniq)
      253    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      267    0.003    0.000    0.003    0.000 _compiler.py:386(_mk_bitmap)
      225    0.000    0.000    0.003    0.000 typing.py:166(_type_convert)
        1    0.000    0.000    0.003    0.003 core.py:21(where)
      189    0.001    0.000    0.003    0.000 css_types.py:360(__init__)
     2654    0.002    0.000    0.003    0.000 element.py:1371(is_empty_element)
     5589    0.003    0.000    0.003    0.000 {method 'endswith' of 'str' objects}
      325    0.003    0.000    0.003    0.000 {method '_checkReadable' of '_io._IOBase' objects}
        1    0.000    0.000    0.003    0.003 fields.py:1(<module>)
  160/157    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
       90    0.002    0.000    0.003    0.000 typing.py:262(_collect_parameters)
     1002    0.001    0.000    0.003    0.000 _compiler.py:398(_simple)
        1    0.000    0.000    0.003    0.003 decoder.py:1(<module>)
      168    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
       56    0.000    0.000    0.003    0.000 _htmlparser.py:90(handle_startendtag)
      253    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:124(setdefault)
        1    0.000    0.000    0.003    0.003 _common.py:33(wrapper)
        1    0.000    0.000    0.003    0.003 _common.py:51(files)
        1    0.000    0.000    0.003    0.003 _common.py:107(from_package)
       54    0.000    0.000    0.003    0.000 typing.py:885(__init__)
        1    0.000    0.000    0.003    0.003 _adapters.py:28(get_resource_reader)
      159    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
      895    0.002    0.000    0.003    0.000 _compiler.py:216(_compile_charset)
        1    0.003    0.003    0.003    0.003 {built-in method today}
     2703    0.002    0.000    0.003    0.000 __init__.py:773(handle_data)
        1    0.000    0.000    0.003    0.003 _adapters.py:149(_native)
        1    0.000    0.000    0.003    0.003 _adapters.py:144(_reader)
        1    0.000    0.000    0.003    0.003 poolmanager.py:1(<module>)
     1443    0.002    0.000    0.003    0.000 enum.py:1544(_get_value)
        1    0.000    0.000    0.003    0.003 <frozen importlib._bootstrap_external>:1192(get_resource_reader)
        2    0.000    0.000    0.003    0.001 parser.py:41(parse)
     6507    0.003    0.000    0.003    0.000 {method 'rstrip' of 'str' objects}
        2    0.000    0.000    0.003    0.001 readers.py:1(<module>)
       54    0.003    0.000    0.003    0.000 {built-in method builtins.compile}
        1    0.000    0.000    0.003    0.003 <frozen importlib._bootstrap>:1171(exec_module)
      325    0.003    0.000    0.003    0.000 {method '_checkClosed' of '_io._IOBase' objects}
        1    0.000    0.000    0.003    0.003 <frozen ntpath>:1(<module>)
        1    0.000    0.000    0.003    0.003 sessions.py:457(prepare_request)
     4198    0.002    0.000    0.002    0.000 {built-in method _abc._abc_instancecheck}
       15    0.002    0.000    0.002    0.000 {built-in method builtins.sorted}
     1107    0.001    0.000    0.002    0.000 {built-in method builtins.setattr}
       20    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1644(_fill_cache)
       20    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1456(_path_hooks)
       84    0.001    0.000    0.002    0.000 css_parser.py:798(parse_combinator)
     3683    0.002    0.000    0.002    0.000 {method 'find' of 'bytearray' objects}
        1    0.000    0.000    0.002    0.002 __meta__.py:1(<module>)
      318    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
        1    0.002    0.002    0.002    0.002 idnadata.py:1(<module>)
        1    0.000    0.000    0.002    0.002 bz2.py:1(<module>)
        1    0.000    0.000    0.002    0.002 message.py:1(<module>)
     5432    0.002    0.000    0.002    0.000 {method 'start' of 're.Match' objects}
      168    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
       69    0.000    0.000    0.002    0.000 css_parser.py:532(parse_tag_pattern)
     7604    0.002    0.000    0.002    0.000 {built-in method builtins.ord}
     2754    0.002    0.000    0.002    0.000 {built-in method builtins.max}
      211    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:420(__exit__)
        2    0.000    0.000    0.002    0.001 _adapters.py:1(<module>)
      539    0.001    0.000    0.002    0.000 typing.py:1188(__setattr__)
      494    0.001    0.000    0.002    0.000 enum.py:726(__call__)
      253    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:372(release)
        1    0.000    0.000    0.002    0.002 selectors.py:1(<module>)
       20    0.002    0.000    0.002    0.000 {built-in method posix.listdir}
     5381    0.002    0.000    0.002    0.000 element.py:2062(descendants)
        1    0.000    0.000    0.002    0.002 __init__.py:469(StrFormatStyle)
     3415    0.001    0.000    0.002    0.000 element.py:2203(_normalize_search_value)
        1    0.000    0.000    0.002    0.002 queue.py:1(<module>)
       42    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
       77    0.000    0.000    0.002    0.000 css_types.py:267(__init__)
       17    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:989(create_module)
     2655    0.002    0.000    0.002    0.000 __init__.py:205(can_be_empty_element)
      412    0.002    0.000    0.002    0.000 _parser.py:265(getwhile)
        1    0.000    0.000    0.002    0.002 string.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _markupbase.py:1(<module>)
        4    0.000    0.000    0.002    0.000 feedparser.py:171(feed)
       99    0.001    0.000    0.002    0.000 enum.py:1551(__or__)
        1    0.000    0.000    0.002    0.002 base64mime.py:1(<module>)
        1    0.000    0.000    0.002    0.002 random.py:1(<module>)
        1    0.000    0.000    0.002    0.002 certs.py:1(<module>)
       85    0.000    0.000    0.002    0.000 typing.py:1147(__init__)
     4647    0.002    0.000    0.002    0.000 _parser.py:113(__init__)
        1    0.000    0.000    0.002    0.002 scanner.py:1(<module>)
       17    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:997(exec_module)
        1    0.000    0.000    0.002    0.002 idna.py:1(<module>)
        1    0.000    0.000    0.002    0.002 string.py:69(__init_subclass__)
      413    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:645(parent)
       17    0.002    0.000    0.002    0.000 {built-in method _imp.create_builtin}
     2479    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
