URL does not exist
         394396 function calls (376828 primitive calls) in 2.525 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      442    0.005    0.000    0.022    0.000 <frozen importlib._bootstrap>:162(__enter__)
        2    0.000    0.000    0.022    0.011 _sockets.py:1(<module>)
        1    0.000    0.000    0.022    0.022 _events.py:1(<module>)
        1    0.000    0.000    0.021    0.021 lzma.py:1(<module>)
      236    0.021    0.000    0.021    0.000 {built-in method _io.open_code}
       13    0.003    0.000    0.020    0.002 enum.py:919(_convert_)
       74    0.001    0.000    0.020    0.000 typing.py:1449(__getitem__)
        1    0.000    0.000    0.020    0.020 unix_events.py:1(<module>)
      104    0.001    0.000    0.019    0.000 typing.py:1458(copy_with)
      683    0.013    0.000    0.019    0.000 _compiler.py:243(_optimize_charset)
    19821    0.012    0.000    0.019    0.000 _parser.py:168(__getitem__)
  237/231    0.001    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
        1    0.000    0.000    0.018    0.018 core.py:21(where)
        1    0.000    0.000    0.018    0.018 decoder.py:1(<module>)
       11    0.000    0.000    0.018    0.002 <frozen importlib._bootstrap_external>:1295(exec_module)
        7    0.000    0.000    0.018    0.003 http11.py:209(_receive_event)
        1    0.000    0.000    0.018    0.018 _common.py:33(wrapper)
        1    0.000    0.000    0.018    0.018 _common.py:51(files)
        1    0.000    0.000    0.018    0.018 _common.py:107(from_package)
        1    0.000    0.000    0.018    0.018 _adapters.py:28(get_resource_reader)
        1    0.000    0.000    0.018    0.018 _adapters.py:149(_native)
        1    0.000    0.000    0.018    0.018 _adapters.py:144(_reader)
        1    0.000    0.000    0.018    0.018 <frozen importlib._bootstrap_external>:1192(get_resource_reader)
      407    0.001    0.000    0.017    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.017    0.017 scanner.py:1(<module>)
        1    0.000    0.000    0.016    0.016 _types.py:1(<module>)
        1    0.000    0.000    0.016    0.016 css_match.py:1(<module>)
      442    0.003    0.000    0.016    0.000 <frozen importlib._bootstrap>:124(setdefault)
47112/42853    0.014    0.000    0.016    0.000 {built-in method builtins.len}
    11001    0.010    0.000    0.015    0.000 _parser.py:261(get)
33244/33224    0.014    0.000    0.015    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.014    0.014 events.py:1(<module>)
    49529    0.014    0.000    0.014    0.000 {method 'append' of 'list' objects}
      191    0.002    0.000    0.014    0.000 _compiler.py:511(_compile_info)
        6    0.000    0.000    0.014    0.002 http11.py:65(handle_async_request)
       11    0.008    0.001    0.014    0.001 {built-in method _imp.exec_dynamic}
